model,dim,niter,costp_l2,costq_l2,lrate,method,nn,normalize,rmse,precision_at_k,recall_at_k
LIBMF,100,30,0.05,0.005,0.03,,,,0.8731538813689602,0.04320000000000001,0.025444946001257
LIBMF,100,30,0.1,0.1,0.05,,,,0.8731740358795923,0.026033333333333332,0.025471548554228073
LIBMF,200,30,0.1,0.1,0.05,,,,0.8732735569269099,0.0327,0.03215775880123637
LIBMF,100,80,0.05,0.1,0.03,,,,0.8734257087753888,0.019600000000000003,0.012104342394543973
LIBMF,75,30,0.1,0.1,0.05,,,,0.873465376493929,0.023233333333333335,0.021552796015614415
LIBMF,75,80,0.05,0.1,0.03,,,,0.8736211192462093,0.015399999999999992,0.009106004471717942
LIBMF,75,50,0.05,0.05,0.03,,,,0.8736340690344071,0.029299999999999986,0.017225592906497875
LIBMF,200,80,0.05,0.1,0.03,,,,0.8736535663594696,0.027500000000000004,0.018850570777918605
LIBMF,100,30,0.05,0.01,0.03,,,,0.873713959974302,0.0428,0.02501923378885529
LIBMF,50,80,0.1,0.05,0.03,,,,0.8739532733920158,0.024966666666666665,0.02211578161980484
LIBMF,100,30,0.05,0.1,0.03,,,,0.8741192442123237,0.012333333333333339,0.005421939166036915
LIBMF,100,50,0.1,0.1,0.05,,,,0.8742587901316483,0.024366666666666672,0.024863888517751717
LIBMF,75,50,0.1,0.05,0.03,,,,0.8743265585843866,0.02730000000000001,0.023541380027237897
LIBMF,100,30,0.1,0.05,0.05,,,,0.8743372280921049,0.04763333333333333,0.042486095062927436
LIBMF,200,30,0.1,0.05,0.03,,,,0.8743391543146223,0.0367,0.030118313550866232
LIBMF,200,30,0.1,0.01,0.03,,,,0.8744369586165477,0.05736666666666666,0.04986169734891616
LIBMF,75,30,0.1,0.05,0.05,,,,0.8745412741491339,0.04293333333333333,0.03841518674006512
LIBMF,200,30,0.01,0.1,0.03,,,,0.8746270869206926,0.02473333333333335,0.007820643409737389
LIBMF,100,30,0.05,0.1,0.05,,,,0.8747498034502804,0.03186666666666667,0.022478315783783266
LIBMF,200,30,0.05,0.1,0.05,,,,0.8747825069042275,0.039099999999999996,0.0280817789278007
LIBMF,75,30,0.05,0.01,0.03,,,,0.8748198623126742,0.034633333333333335,0.018641753099518252
LIBMF,75,50,0.1,0.1,0.05,,,,0.8750154941131852,0.02116666666666667,0.021862072352749375
LIBMF,100,50,0.1,0.1,0.03,,,,0.8750671203308185,0.011400000000000006,0.008107108008404654
LIBMF,100,50,0.1,0.005,0.03,,,,0.8750675891151599,0.055933333333333335,0.04973310347328884
LIBMF,50,50,0.1,0.1,0.05,,,,0.8751340369908169,0.017633333333333338,0.017606319608163765
LIBMF,75,30,0.05,0.1,0.05,,,,0.8751556954266296,0.027000000000000003,0.01716264960185337
LIBMF,75,30,0.05,0.005,0.03,,,,0.8751796526967195,0.03660000000000001,0.020450856803697015
LIBMF,100,50,0.1,0.01,0.03,,,,0.8751925397660388,0.054866666666666675,0.04943826153738074
LIBMF,75,30,0.05,0.05,0.03,,,,0.8751947579024121,0.022499999999999996,0.010001338593294839
LIBMF,200,50,0.1,0.1,0.05,,,,0.8753244636559461,0.029433333333333325,0.02961188207036331
LIBMF,200,30,0.1,0.005,0.03,,,,0.8753633009100372,0.06046666666666666,0.0521933834781135
LIBMF,75,50,0.1,0.01,0.03,,,,0.8753761226545216,0.04743333333333333,0.04267074366437708
LIBMF,50,80,0.05,0.1,0.03,,,,0.8754163174581024,0.011600000000000001,0.006157829192266549
LIBMF,50,50,0.05,0.1,0.03,,,,0.8756900303615717,0.008400000000000001,0.003539572834811132
LIBMF,200,30,0.1,0.05,0.05,,,,0.875769262598189,0.052399999999999995,0.04714678377616898
LIBMF,50,50,0.05,0.05,0.03,,,,0.8757857714939985,0.021300000000000006,0.010305244957724462
LIBMF,200,50,0.1,0.01,0.03,,,,0.8757875295796506,0.06563333333333334,0.05629468265815238
LIBMF,50,30,0.1,0.1,0.05,,,,0.8758389730681218,0.019966666666666674,0.018245407855746448
LIBMF,75,50,0.1,0.005,0.03,,,,0.8758392669491774,0.05056666666666666,0.04580369471257411
LIBMF,50,80,0.1,0.1,0.03,,,,0.8761464642564706,0.0071666666666666615,0.005057379681697501
LIBMF,200,50,0.1,0.005,0.03,,,,0.8765139947941344,0.06876666666666667,0.059532980197059736
LIBMF,75,80,0.1,0.1,0.05,,,,0.8767876650671957,0.021500000000000002,0.02094130401683111
LIBMF,50,30,0.05,0.1,0.05,,,,0.8768643225306194,0.021233333333333333,0.01246731983170165
LIBMF,75,30,0.05,0.1,0.03,,,,0.8768723153310084,0.010466666666666662,0.004399599972149515
LIBMF,50,30,0.1,0.05,0.05,,,,0.8772478793807027,0.03743333333333333,0.033363457415642624
LIBMF,200,80,0.05,0.05,0.03,,,,0.8774195706500063,0.04936666666666667,0.03558820189231156
LIBMF,50,80,0.1,0.1,0.05,,,,0.877461640006671,0.016233333333333325,0.01659653321650853
LIBMF,100,80,0.1,0.1,0.05,,,,0.8774706699505521,0.023399999999999997,0.024328434992048897
LIBMF,100,80,0.05,0.05,0.03,,,,0.8775944060874235,0.04066666666666667,0.028197210523301052
LIBMF,75,80,0.05,0.05,0.03,,,,0.877629682789624,0.03403333333333334,0.02228828378029228
LIBMF,100,50,0.1,0.05,0.05,,,,0.8776474260081717,0.04463333333333333,0.04037727414406099
LIBMF,200,80,0.1,0.1,0.05,,,,0.8776670434672096,0.029700000000000004,0.029336053284824734
LIBMF,100,30,0.1,0.1,0.1,,,,0.8777003611719821,0.023099999999999996,0.02135532823071361
LIBMF,75,50,0.05,0.01,0.03,,,,0.8779316158981172,0.04683333333333333,0.02991831764769229
LIBMF,75,50,0.1,0.05,0.05,,,,0.8780269334752303,0.0407,0.03692701691971995
LIBMF,75,30,0.1,0.1,0.1,,,,0.8780317736340687,0.021333333333333336,0.019998621143494384
LIBMF,50,80,0.1,0.01,0.03,,,,0.8780544527767364,0.045666666666666675,0.03907648764019261
LIBMF,75,80,0.1,0.01,0.03,,,,0.8781831102809848,0.05583333333333333,0.04737889692793686
LIBMF,200,30,0.01,0.05,0.03,,,,0.8782264487422741,0.034466666666666666,0.013715998207658215
LIBMF,200,30,0.1,0.1,0.1,,,,0.8782887947213514,0.0263,0.024686110405314227
LIBMF,75,50,0.1,0.1,0.03,,,,0.8784236800914644,0.01013333333333334,0.0072474768250662845
LIBMF,100,80,0.1,0.01,0.03,,,,0.8784447600384412,0.059666666666666666,0.05126790148604644
LIBMF,50,50,0.1,0.01,0.03,,,,0.8784639717047855,0.0387,0.03372817477521984
LIBMF,75,50,0.05,0.005,0.03,,,,0.8784780202743842,0.049300000000000004,0.0328287291409055
LIBMF,50,50,0.1,0.005,0.03,,,,0.8785681930457168,0.04093333333333333,0.03667729130503136
LIBMF,200,30,0.005,0.1,0.03,,,,0.8786166104741706,0.02466666666666667,0.006300770066331067
LIBMF,100,30,0.01,0.1,0.03,,,,0.8786364304854225,0.01730000000000001,0.004176737522608926
LIBMF,50,30,0.1,0.1,0.1,,,,0.8786388714035245,0.015733333333333335,0.015105105127140498
LIBMF,25,50,0.1,0.1,0.05,,,,0.8787670310320695,0.010733333333333338,0.00957996826132271
LIBMF,200,50,0.1,0.05,0.05,,,,0.8788652902721733,0.05053333333333334,0.04688448514936019
LIBMF,75,30,0.01,0.1,0.03,,,,0.8788891995109931,0.01303333333333334,0.002984126456256929
LIBMF,200,30,0.05,0.05,0.05,,,,0.8788974971405937,0.053833333333333344,0.040568331937279
LIBMF,50,30,0.05,0.01,0.03,,,,0.8789836319442479,0.02640000000000002,0.012016984235489202
LIBMF,200,30,0.1,0.1,0.03,,,,0.8789926682744484,0.01640000000000001,0.010297847807605086
LIBMF,200,50,0.01,0.1,0.03,,,,0.8790021663495472,0.030433333333333347,0.01147668400487038
LIBMF,200,50,0.05,0.1,0.05,,,,0.8791668322990577,0.044000000000000004,0.033821934025366665
LIBMF,200,80,0.01,0.005,0.01,,,,0.8791985994897782,0.002299999999999998,4.569857097798154e-4
LIBMF,50,50,0.1,0.05,0.05,,,,0.8793391093830195,0.038066666666666665,0.03611293194930886
LIBMF,50,30,0.05,0.005,0.03,,,,0.8793545689886921,0.029433333333333336,0.015363535694994792
LIBMF,50,30,0.05,0.05,0.03,,,,0.8794155456095752,0.016433333333333328,0.006841791320768548
LIBMF,200,80,0.01,0.01,0.01,,,,0.879419976123223,0.002133333333333336,4.049088916496056e-4
LIBMF,100,30,0.05,0.05,0.05,,,,0.8795614073000788,0.04753333333333334,0.03363589982607667
LIBMF,200,80,0.005,0.01,0.01,,,,0.8795835023860431,0.0027000000000000006,4.905572085860974e-4
LIBMF,100,50,0.05,0.01,0.03,,,,0.8797302996234717,0.054033333333333336,0.03693384254307142
LIBMF,75,50,0.05,0.1,0.05,,,,0.8797564897783309,0.03086666666666667,0.02282133260785954
LIBMF,75,80,0.1,0.005,0.03,,,,0.8798182571718571,0.05673333333333334,0.04969963525676365
LIBMF,100,30,0.1,0.01,0.03,,,,0.8798392723273258,0.044266666666666676,0.037356623516204814
LIBMF,200,80,0.005,0.005,0.01,,,,0.8798608783249882,0.002499999999999994,4.1376989359362496e-4
LIBMF,100,50,0.05,0.1,0.05,,,,0.8798671284404253,0.0363,0.02699005055435859
LIBMF,50,80,0.1,0.005,0.03,,,,0.8798677859540185,0.047900000000000005,0.04164033496463635
LIBMF,200,50,0.05,0.01,0.03,,,,0.8800167185172207,0.0651,0.04697487900327899
LIBMF,50,50,0.05,0.01,0.03,,,,0.8800740425483506,0.036500000000000005,0.02277654838650044
LIBMF,50,50,0.1,0.05,0.03,,,,0.8800921894747405,0.022100000000000012,0.01843434092939613
LIBMF,200,80,0.1,0.01,0.03,,,,0.880109790976277,0.0699,0.059808156026856296
LIBMF,100,30,0.1,0.005,0.03,,,,0.8802286230237165,0.045166666666666674,0.038208766311703876
LIBMF,100,80,0.1,0.005,0.03,,,,0.8802471575991863,0.06316666666666665,0.05275058551278601
LIBMF,25,80,0.05,0.1,0.03,,,,0.8802968895252316,0.005699999999999997,0.0024792263303344666
LIBMF,200,80,0.005,0.05,0.01,,,,0.8804428873892101,0.001199999999999999,2.3624333348330566e-4
LIBMF,100,50,0.05,0.005,0.03,,,,0.8804811949297294,0.05616666666666666,0.0376771108591727
LIBMF,75,50,0.1,0.1,0.1,,,,0.880599139781283,0.021766666666666667,0.020096630137530127
LIBMF,50,50,0.1,0.1,0.1,,,,0.8806366879796779,0.018566666666666662,0.01756122648862961
LIBMF,100,80,0.1,0.05,0.05,,,,0.8806607155427053,0.04306666666666668,0.03904426246425866
LIBMF,200,50,0.1,0.1,0.1,,,,0.880872717101655,0.0277,0.02456295510392772
LIBMF,50,50,0.05,0.005,0.03,,,,0.880951647959952,0.0393,0.02367407570087321
LIBMF,100,50,0.1,0.1,0.1,,,,0.8809560882683313,0.02456666666666667,0.022015541716282044
LIBMF,25,80,0.1,0.1,0.05,,,,0.8809730158922677,0.008366666666666673,0.007777472554212567
LIBMF,200,80,0.01,0.05,0.01,,,,0.8810195305945787,0.0010000000000000015,2.0373632217054525e-4
LIBMF,50,80,0.05,0.05,0.03,,,,0.8810517664412959,0.024599999999999997,0.01441432225987659
LIBMF,200,80,0.1,0.05,0.05,,,,0.881082706095305,0.04966666666666666,0.045459323617804234
LIBMF,75,30,0.05,0.05,0.05,,,,0.8812571259921156,0.043500000000000004,0.030679429366704838
LIBMF,100,30,0.005,0.1,0.03,,,,0.8813012809496309,0.01616666666666665,0.004100579109218332
LIBMF,25,30,0.1,0.1,0.05,,,,0.8813898516344946,0.013133333333333335,0.010734422686320381
LIBMF,200,30,0.05,0.1,0.1,,,,0.8815715163099862,0.04016666666666666,0.03263607916464374
LIBMF,25,80,0.1,0.05,0.03,,,,0.8816685105822698,0.016366666666666665,0.01341431572507324
LIBMF,75,80,0.1,0.05,0.05,,,,0.8816766720374045,0.04103333333333333,0.03718490458950647
LIBMF,100,30,0.01,0.05,0.03,,,,0.881683238949605,0.024900000000000037,0.007958324019973399
LIBMF,200,50,0.01,0.05,0.03,,,,0.8817293291578691,0.0402,0.01622895149423863
LIBMF,100,30,0.05,0.1,0.1,,,,0.8817624050717074,0.034033333333333325,0.02697453339043177
LIBMF,50,30,0.05,0.1,0.03,,,,0.8818806345962208,0.008099999999999996,0.003125047786134172
LIBMF,200,50,0.05,0.005,0.03,,,,0.8818955189286761,0.06796666666666668,0.048474327632844025
LIBMF,100,30,0.1,0.05,0.03,,,,0.8819208092499033,0.025366666666666666,0.017932445252329794
LIBMF,25,50,0.05,0.05,0.03,,,,0.8819911907278272,0.01436666666666667,0.0063370077708902175
LIBMF,200,30,0.01,0.1,0.05,,,,0.8820550856727384,0.03940000000000001,0.018686801220645578
LIBMF,100,50,0.01,0.1,0.03,,,,0.8820944260328445,0.02033333333333334,0.006576654184740035
LIBMF,25,30,0.1,0.1,0.1,,,,0.8821197002204261,0.008700000000000001,0.007222221533932936
LIBMF,200,30,0.005,0.05,0.03,,,,0.882135874090021,0.03353333333333334,0.011507549200241482
LIBMF,75,30,0.1,0.01,0.05,,,,0.8823557603642076,0.061166666666666675,0.04910550125571268
LIBMF,25,80,0.1,0.005,0.03,,,,0.8823593326651032,0.038,0.032582115879736945
LIBMF,50,50,0.05,0.1,0.05,,,,0.8823594551643692,0.023999999999999994,0.016837636634062868
LIBMF,200,80,0.01,0.1,0.03,,,,0.8823720211819227,0.036366666666666665,0.014898499683282215
LIBMF,200,80,0.01,0.1,0.01,,,,0.8823790425468241,5.333333333333328e-4,1.3258692413271788e-4
LIBMF,25,30,0.1,0.05,0.05,,,,0.8825730054035621,0.026733333333333345,0.022306388549767686
LIBMF,200,50,0.005,0.1,0.03,,,,0.8825874185556726,0.026200000000000015,0.00868613338554246
LIBMF,100,80,0.05,0.1,0.05,,,,0.8826808039014791,0.0406,0.03235134812420132
LIBMF,200,80,0.1,0.005,0.03,,,,0.8827694423627432,0.0724,0.05971309897923917
LIBMF,200,80,0.005,0.1,0.01,,,,0.882933512106006,6.666666666666664e-4,1.577097122874432e-4
LIBMF,25,80,0.1,0.01,0.03,,,,0.882986844939232,0.0332,0.029182016103402236
LIBMF,75,30,0.05,0.1,0.1,,,,0.8829904634294844,0.0298,0.024355621321259905
LIBMF,25,30,0.05,0.1,0.05,,,,0.8830363449893184,0.010399999999999994,0.0050657981517426105
LIBMF,25,50,0.1,0.05,0.05,,,,0.8830536772123877,0.026199999999999994,0.023684448643653228
LIBMF,75,80,0.1,0.1,0.1,,,,0.8830916409835631,0.024233333333333332,0.02167046523025646
LIBMF,75,30,0.1,0.05,0.1,,,,0.8832387771417917,0.041600000000000005,0.03446566694517136
LIBMF,25,50,0.05,0.01,0.03,,,,0.8832442622810343,0.024200000000000003,0.012373476002065929
LIBMF,25,50,0.05,0.1,0.03,,,,0.8832512839779859,0.004966666666666668,0.0016802127578421752
LIBMF,75,30,0.01,0.05,0.03,,,,0.8832530669738715,0.022166666666666654,0.005925502110258607
LIBMF,100,80,0.1,0.1,0.1,,,,0.883268084605137,0.025733333333333334,0.023220640228026456
LIBMF,50,80,0.1,0.05,0.05,,,,0.8834279420318709,0.033966666666666666,0.03165322707034856
LIBMF,200,30,0.1,0.05,0.1,,,,0.8834303437256504,0.04923333333333333,0.04031152802938696
LIBMF,100,30,0.1,0.05,0.1,,,,0.88349778994037,0.042699999999999995,0.0352763344583174
LIBMF,50,30,0.1,0.01,0.05,,,,0.8835122577516568,0.052000000000000005,0.044794614248167844
LIBMF,200,30,0.1,0.01,0.05,,,,0.883557209496852,0.0729,0.06055466453300311
LIBMF,25,50,0.05,0.005,0.03,,,,0.8836044061059043,0.025100000000000004,0.013246429224246691
LIBMF,50,50,0.1,0.1,0.03,,,,0.8836110077070048,0.008466666666666662,0.0056844661897104
LIBMF,200,50,0.05,0.05,0.05,,,,0.8836110565999244,0.05803333333333333,0.044019693837717
LIBMF,100,30,0.1,0.01,0.05,,,,0.8836444286299326,0.06326666666666667,0.05131798300915087
LIBMF,200,80,0.05,0.1,0.05,,,,0.88368104243756,0.04753333333333334,0.0379130510630147
LIBMF,50,80,0.1,0.1,0.1,,,,0.8836861677376692,0.0198,0.017967188779504966
LIBMF,200,80,0.1,0.1,0.1,,,,0.8837098399296137,0.030766666666666668,0.026520686017787946
LIBMF,75,80,0.05,0.1,0.05,,,,0.8838573340676845,0.03606666666666667,0.02692526394317771
LIBMF,25,80,0.05,0.05,0.03,,,,0.8839194015704167,0.014333333333333335,0.007641172134596461
LIBMF,75,30,0.1,0.005,0.03,,,,0.883968598575759,0.03919999999999999,0.03179051322223416
LIBMF,75,30,0.1,0.01,0.03,,,,0.8842469811566385,0.036033333333333334,0.02827197271063634
LIBMF,50,30,0.05,0.05,0.05,,,,0.8843199177097256,0.03516666666666667,0.023613286530323675
LIBMF,200,30,0.01,0.01,0.03,,,,0.8843953941863938,0.047099999999999996,0.01954363624159732
LIBMF,75,30,0.1,0.005,0.05,,,,0.884417585654053,0.06173333333333334,0.051222738631078304
LIBMF,25,80,0.1,0.1,0.03,,,,0.8845019029086622,0.005066666666666664,0.0029911325947278716
LIBMF,75,50,0.01,0.1,0.03,,,,0.8846738139507621,0.018133333333333335,0.005005180481746224
LIBMF,100,30,0.005,0.05,0.03,,,,0.884684577494097,0.02593333333333333,0.007787596238929916
LIBMF,200,50,0.005,0.005,0.01,,,,0.8847811280926712,0.0025666666666666654,4.526414090855982e-4
LIBMF,75,30,0.005,0.1,0.03,,,,0.8848325525704949,0.01383333333333334,0.0029857106629177497
LIBMF,100,50,0.05,0.05,0.05,,,,0.885032438404399,0.04993333333333334,0.03865078364351049
LIBMF,100,30,0.1,0.005,0.05,,,,0.8850797683170367,0.06856666666666666,0.05534812914565291
LIBMF,200,50,0.005,0.01,0.01,,,,0.8851452416269358,0.002000000000000001,3.832421688389312e-4
LIBMF,25,30,0.05,0.01,0.03,,,,0.8851586156910595,0.019766666666666665,0.008106250469678276
LIBMF,200,50,0.01,0.005,0.01,,,,0.8851599721622531,0.0019666666666666626,3.786897533978057e-4
LIBMF,75,30,0.1,0.05,0.03,,,,0.8851754926036062,0.021366666666666666,0.013919432544452225
LIBMF,200,80,0.05,0.01,0.01,,,,0.8851891903568558,0.0015333333333333351,4.3892244017181865e-4
LIBMF,200,50,0.01,0.01,0.01,,,,0.8852424067377838,0.0017333333333333309,3.594156592573892e-4
LIBMF,200,80,0.01,0.05,0.03,,,,0.885259999474737,0.045233333333333334,0.020313889021221308
LIBMF,200,80,0.05,0.005,0.01,,,,0.8852734315132128,0.0021333333333333317,6.474000419813752e-4
LIBMF,25,30,0.05,0.05,0.03,,,,0.8854148629933578,0.012399999999999993,0.004984811070419508
LIBMF,50,30,0.01,0.1,0.03,,,,0.8854172161100232,0.009766666666666663,0.0020304515071143483
LIBMF,25,30,0.05,0.005,0.03,,,,0.8854472860419618,0.021500000000000002,0.009029151096208462
LIBMF,200,30,0.005,0.1,0.05,,,,0.8855909067605655,0.03526666666666666,0.015590386937982882
LIBMF,50,30,0.01,0.05,0.03,,,,0.8856187763192159,0.015999999999999993,0.0036737844524894424
LIBMF,200,50,0.05,0.1,0.1,,,,0.8856626194811676,0.044700000000000004,0.03499826423947509
LIBMF,200,50,0.005,0.05,0.03,,,,0.8857351576741973,0.034933333333333344,0.01377889976739512
LIBMF,200,30,0.01,0.05,0.05,,,,0.8857490346216343,0.04753333333333334,0.023670473136078254
LIBMF,100,50,0.1,0.05,0.1,,,,0.8858523189043332,0.046533333333333336,0.037739580270748974
LIBMF,200,50,0.1,0.05,0.1,,,,0.8858692940897296,0.05026666666666667,0.040382341325733
LIBMF,200,50,0.01,0.05,0.01,,,,0.8858708537087363,9.999999999999996e-4,2.521617635269697e-4
LIBMF,200,80,0.05,0.01,0.03,,,,0.8858810590182161,0.06896666666666668,0.05159924846850449
LIBMF,50,30,0.1,0.005,0.05,,,,0.885894468887335,0.05463333333333333,0.04583521363986704
LIBMF,100,80,0.005,0.005,0.01,,,,0.8858947552790697,0.0018999999999999974,3.553533856855128e-4
LIBMF,200,50,0.005,0.05,0.01,,,,0.8859169518156171,0.00123333333333333,2.7125819836980325e-4
LIBMF,100,80,0.01,0.005,0.01,,,,0.8859215738479566,0.0019333333333333323,3.523476002894231e-4
LIBMF,200,80,0.005,0.1,0.03,,,,0.8859495204866701,0.02963333333333334,0.011120142022792932
LIBMF,25,50,0.1,0.005,0.03,,,,0.8859575125269981,0.029333333333333326,0.023960530830728303
LIBMF,100,80,0.005,0.01,0.01,,,,0.8859778640380875,0.0015999999999999996,3.298788541717819e-4
LIBMF,100,80,0.01,0.01,0.01,,,,0.8859779823557192,0.001499999999999999,3.096641809258806e-4
LIBMF,200,30,0.01,0.005,0.03,,,,0.886048514783641,0.047366666666666654,0.02170230890383113
LIBMF,200,30,0.1,0.005,0.05,,,,0.886130016477204,0.07516666666666667,0.0612065878389023
LIBMF,100,30,0.01,0.01,0.03,,,,0.8861876120396915,0.034999999999999996,0.01350133923444241
LIBMF,200,50,0.01,0.1,0.05,,,,0.8862272683191316,0.04646666666666666,0.024150435472991436
LIBMF,100,50,0.05,0.1,0.1,,,,0.8862616617486991,0.03893333333333333,0.030723241849356105
LIBMF,100,30,0.1,0.1,0.03,,,,0.8862882600340769,0.011233333333333331,0.006924867420882349
LIBMF,75,50,0.1,0.05,0.1,,,,0.8863717206056672,0.043500000000000004,0.03542383927108832
LIBMF,200,80,0.05,0.05,0.01,,,,0.8864111969493457,8.000000000000005e-4,2.626341813540156e-4
LIBMF,25,50,0.1,0.1,0.1,,,,0.8864697453684309,0.00786666666666667,0.006226360934236322
LIBMF,25,30,0.1,0.01,0.05,,,,0.886519216578637,0.042833333333333334,0.0377015851791613
LIBMF,25,50,0.1,0.05,0.03,,,,0.8865763215289384,0.016333333333333335,0.011247655417125468
LIBMF,100,30,0.01,0.005,0.03,,,,0.8866232549422356,0.036999999999999984,0.015040617006217925
LIBMF,100,80,0.005,0.05,0.01,,,,0.8866291965448304,0.0011666666666666665,2.9955587511371556e-4
LIBMF,50,30,0.05,0.1,0.1,,,,0.8866381364296153,0.022966666666666663,0.017416460734351557
LIBMF,200,30,0.01,0.05,0.1,,,,0.8866757482551794,0.03876666666666667,0.027065048361516804
LIBMF,100,80,0.01,0.05,0.01,,,,0.8867007105892832,0.0010000000000000002,2.478432841433476e-4
LIBMF,75,50,0.05,0.1,0.1,,,,0.8867165246360567,0.03593333333333333,0.028280533404761107
LIBMF,50,80,0.05,0.1,0.05,,,,0.8867339224155788,0.02793333333333333,0.019966026173142352
LIBMF,200,50,0.005,0.1,0.01,,,,0.8867578055258007,6.666666666666657e-4,1.3973842199567778e-4
LIBMF,25,30,0.05,0.1,0.03,,,,0.8867935470196525,0.005833333333333334,0.00182588001819804
LIBMF,75,30,0.005,0.05,0.03,,,,0.8868061078360902,0.020066666666666677,0.00501888824931435
LIBMF,200,30,0.05,0.05,0.1,,,,0.8868133749376366,0.05463333333333334,0.04110031850073091
LIBMF,25,50,0.1,0.01,0.03,,,,0.8868984115006951,0.029166666666666678,0.023436068412359057
LIBMF,75,50,0.05,0.05,0.05,,,,0.8869049878312351,0.04530000000000001,0.03365525941197529
LIBMF,200,50,0.01,0.1,0.01,,,,0.8869850654380986,7.000000000000001e-4,2.1908635530347364e-4
LIBMF,10,50,0.05,0.005,0.03,,,,0.8871163827913175,0.017400000000000006,0.007789146854105793
LIBMF,75,80,0.01,0.005,0.01,,,,0.8871245612871556,0.0018000000000000006,3.514102225226546e-4
LIBMF,75,80,0.01,0.01,0.01,,,,0.8871333411301257,0.0016666666666666657,3.737836956846175e-4
LIBMF,75,80,0.005,0.005,0.01,,,,0.887168081289879,0.002099999999999999,3.5922869311409293e-4
LIBMF,25,80,0.1,0.05,0.05,,,,0.8871897359361356,0.023166666666666676,0.01975116416998196
LIBMF,75,80,0.005,0.01,0.01,,,,0.8872060442648592,0.001766666666666663,3.1555624855235425e-4
LIBMF,200,80,0.005,0.05,0.03,,,,0.8872300683740697,0.0397,0.016376062185447397
LIBMF,75,30,0.01,0.01,0.03,,,,0.8873443375001011,0.031199999999999995,0.010609953738068474
LIBMF,100,30,0.01,0.1,0.05,,,,0.8873790640592094,0.031200000000000002,0.014063409032870504
LIBMF,10,50,0.05,0.05,0.03,,,,0.887517361836966,0.00863333333333334,0.003040777523551137
LIBMF,50,30,0.1,0.05,0.1,,,,0.8875333488026854,0.03506666666666666,0.028613017367116297
LIBMF,100,80,0.01,0.1,0.01,,,,0.8876007456936335,4.999999999999997e-4,1.2628379353856663e-4
LIBMF,200,30,0.005,0.05,0.05,,,,0.887627982970157,0.04450000000000001,0.020927788126108245
LIBMF,25,30,0.1,0.005,0.05,,,,0.8876577406540347,0.04553333333333333,0.03839876437196509
LIBMF,100,30,0.05,0.05,0.1,,,,0.8877066126371036,0.04936666666666667,0.036423697267859614
LIBMF,100,80,0.005,0.1,0.01,,,,0.8877393721692275,6.333333333333329e-4,1.3709076742851123e-4
LIBMF,25,80,0.1,0.1,0.1,,,,0.8877611335454756,0.009200000000000005,0.0077937267816381665
LIBMF,75,80,0.01,0.05,0.01,,,,0.8877835781320786,0.0010333333333333327,2.8006755282558235e-4
LIBMF,100,50,0.01,0.05,0.03,,,,0.8878776355609581,0.032366666666666676,0.012157080512584666
LIBMF,10,50,0.05,0.01,0.03,,,,0.8879308964532121,0.015499999999999991,0.006871569091267496
LIBMF,100,80,0.05,0.01,0.03,,,,0.887982067838721,0.056600000000000004,0.03793205965179313
LIBMF,75,80,0.005,0.05,0.01,,,,0.8879961812023344,0.0012000000000000005,2.703051739244939e-4
LIBMF,200,50,0.01,0.05,0.05,,,,0.8879978471996662,0.05290000000000001,0.030484147170613592
